problem, AC, PE, WA, TLE, MLE, OLE, RE, CE, TR, Total , C, C++, Pascal, Java
A, 225, 279, 507, 2, 4, 63, 52, 238, 1370, 86, 227, 8, 1049
B, 221, 1, 517, 96, 2, 27, 37, 163, 1064, 30, 132, 902
C, 219, 81, 12, 2, 12, 7, 76, 409, 31, 70, 1, 307
D, 172, 3, 885, 501, 73, 14, 219, 151, 748, 2766, 130, 543, 17, 2076
E, 103, 239, 49, 3, 6, 103, 48, 288, 839, 31, 173, 635
F, 158, 1276, 220, 4, 11, 90, 708, 2467, 143, 395, 1929
G, 193, 322, 188, 2, 1, 41, 57, 281, 1085, 28, 240, 817
Total, 1291, 4, 3599, 1573, 80, 33, 476, 442, 2502, 10000, 479, 1780, 26, 7715
