problem, AC, PE, WA, TLE, MLE, OLE, RE, CE, TR, Total , C, C++, Pascal, Java
A, 228, 226, 7, 51, 33, 52, 54, 651, 27, 76, 548
B, 223, 1, 565, 23, 15, 5, 21, 45, 898, 36, 82, 2, 778
C, 231, 65, 1, 4, 4, 305, 11, 46, 5, 243
D, 198, 4, 383, 13, 16, 9, 11, 19, 653, 33, 85, 535
E, 228, 213, 166, 6, 4, 42, 21, 50, 730, 57, 105, 5, 563
F, 98, 118, 219, 24, 2, 33, 14, 38, 546, 18, 90, 2, 436
G, 210, 1, 881, 8, 13, 13, 60, 1186, 76, 178, 2, 930
Total, 1416, 6, 2451, 428, 30, 96, 136, 136, 270, 4969, 258, 662, 16, 4033
