order, AC, PE, WA, TLE, MLE, OLE, RE, CE, TR, Total , C, C++, Java
A, 194, 7, 19, 5, 6, 1, 232, 14, 41, 177
B, 206, 5, 142, 354, 20, 15, 130, 11, 34, 917, 22, 287, 608
C, 201, 19, 324, 741, 159, 10, 176, 52, 74, 1756, 65, 361, 1330
D, 174, 1, 188, 112, 3, 2, 51, 8, 29, 568, 17, 157, 394
E, 164, 1, 198, 195, 22, 48, 12, 57, 697, 7, 204, 486
F, 142, 463, 422, 71, 11, 152, 73, 327, 1661, 82, 448, 1131
G, 170, 398, 549, 39, 14, 210, 43, 148, 1571, 24, 328, 1219
H, 55, 2, 88, 69, 27, 2, 30, 9, 57, 339, 2, 74, 263
I, 20, 98, 34, 13, 3, 22, 12, 7, 209, 2, 70, 137
Total, 1326, 35, 1918, 2476, 354, 57, 824, 226, 734, 7950, 235, 1970, 5745
