order, AC, PE, WA, TLE, MLE, OLE, RE, CE, TR, Total , C, C++, Java
A, 196, 1, 552, 50, 13, 5, 229, 32, 196, 1274, 87, 226, 961
B, 186, 620, 95, 7, 21, 571, 37, 283, 1820, 110, 315, 1395
C, 176, 264, 17, 2, 53, 14, 98, 624, 49, 80, 495
D, 225, 196, 236, 4, 3, 47, 19, 143, 873, 36, 212, 625
E, 182, 32, 188, 181, 5, 1, 24, 23, 194, 830, 49, 192, 589
F, 32, 107, 56, 2, 89, 17, 129, 432, 30, 113, 289
G, 36, 40, 107, 2, 18, 17, 87, 307, 4, 166, 137
Total, 1033, 33, 1967, 742, 31, 34, 1031, 159, 1130, 6160, 365, 1304, 4491
